,driving,public_transport,walking
2020-01-13,100.0,100.0,100.0
2020-01-14,98.06,96.05,108.38
2020-01-15,95.12,92.65,113.36
2020-01-16,103.03,97.1,118.44
2020-01-17,100.71,100.71,125.5
2020-01-18,87.19,94.58,115.08
2020-01-19,75.75,88.16,81.05
2020-01-20,96.94,94.54,104.85
2020-01-21,96.91,92.1,114.33
2020-01-22,95.07,95.55,109.12
2020-01-23,97.63,94.96,108.7
2020-01-24,100.48,106.51,129.82
2020-01-25,84.33,83.87,118.57
2020-01-26,73.95,83.96,74.39
2020-01-27,95.47,89.71,96.62
2020-01-28,95.18,87.61,101.59
2020-01-29,95.32,91.73,115.01
2020-01-30,95.53,93.95,110.65
2020-01-31,98.69,93.11,128.01
2020-02-01,87.22,99.03,124.01
2020-02-02,77.85,95.67,83.73
2020-02-03,96.56,96.56,108.15
2020-02-04,95.01,105.29,109.55
2020-02-05,99.11,94.96,122.46
2020-02-06,100.32,88.87,120.8
2020-02-07,100.54,97.1,135.64
2020-02-08,87.95,95.93,134.92
2020-02-09,69.59,76.27,70.42
2020-02-10,96.96,91.14,91.2
2020-02-11,102.13,90.21,106.02
2020-02-12,103.62,94.58,109.12
2020-02-13,101.41,95.63,109.8
2020-02-14,110.86,96.35,137.84
2020-02-15,89.15,96.14,127.75
2020-02-16,74.07,82.15,82.18
2020-02-17,89.04,106.05,101.19
2020-02-18,91.02,97.31,104.38
2020-02-19,87.1,94.29,109.57
2020-02-20,88.19,89.58,97.53
2020-02-21,100.62,94.88,117.2
2020-02-22,82.6,86.48,115.97
2020-02-23,72.98,85.59,71.61
2020-02-24,92.77,105.38,102.4
2020-02-25,94.01,97.1,107.15
2020-02-26,91.08,97.98,103.06
2020-02-27,137.89,109.37,104.47
2020-02-28,98.98,106.17,128.56
2020-02-29,89.82,104.49,121.63
2020-03-01,76.01,105.12,82.5
2020-03-02,96.58,114.95,98.07
2020-03-03,93.73,115.71,108.4
2020-03-04,96.23,118.14,108.17
2020-03-05,105.27,112.01,107.17
2020-03-06,97.48,115.08,120.69
2020-03-07,87.76,121.13,136.3
2020-03-08,73.26,98.03,73.74
2020-03-09,88.76,99.58,93.87
2020-03-10,89.18,87.15,92.22
2020-03-11,83.72,98.24,99.23
2020-03-12,74.98,75.85,89.39
2020-03-13,77.71,71.1,88.05
2020-03-14,53.82,57.03,76.54
2020-03-15,46.81,47.92,56.91
2020-03-16,57.07,41.96,60.87
2020-03-17,43.03,28.39,45.98
2020-03-18,33.2,20.29,38.24
2020-03-19,28.48,20.37,41.54
2020-03-20,26.93,18.56,38.77
2020-03-21,18.2,14.28,25.16
2020-03-22,18.43,13.31,33.05
2020-03-23,23.72,16.42,34.96
2020-03-24,23.6,13.65,33.47
2020-03-25,24.68,15.96,32.97
2020-03-26,24.33,12.81,32.41
2020-03-27,25.91,15.29,38.37
2020-03-28,22.38,16.8,40.6
2020-03-29,18.85,13.99,24.14
2020-03-30,24.77,16.55,30.73
2020-03-31,25.34,16.3,32.3
2020-04-01,26.12,14.95,35.69
2020-04-02,25.73,14.7,31.77
2020-04-03,26.81,12.31,34.6
2020-04-04,24.12,16.34,41.24
2020-04-05,23.27,13.36,45.66
2020-04-06,27.85,16.63,38.01
2020-04-07,28.18,17.14,43.41
2020-04-08,29.56,19.49,46.34
2020-04-09,30.05,21.08,47.32
2020-04-10,31.95,20.12,47.4
2020-04-11,27.54,20.24,51.15
2020-04-12,21.48,16.34,42.75
2020-04-13,22.79,14.57,38.79
2020-04-14,30.44,18.4,41.0
2020-04-15,30.74,20.83,41.28
2020-04-16,31.88,19.07,43.41
2020-04-17,33.99,18.73,44.11
2020-04-18,29.02,17.18,45.85
2020-04-19,30.16,17.05,48.53
2020-04-20,35.24,18.52,40.58
2020-04-21,38.63,20.62,39.18
2020-04-22,38.65,19.28,43.66
2020-04-23,39.6,17.47,44.58
2020-04-24,40.1,21.25,43.13
2020-04-25,34.56,23.27,49.21
2020-04-26,35.22,21.38,49.28
2020-04-27,47.34,22.43,42.07
2020-04-28,44.67,22.13,36.49
2020-04-29,44.89,22.13,39.75
2020-04-30,41.54,18.19,38.66
2020-05-01,30.43,18.56,28.92
2020-05-02,35.52,21.67,37.41
2020-05-03,40.15,24.02,49.89
2020-05-04,48.78,28.01,47.83
2020-05-05,50.49,27.47,48.04
2020-05-06,51.95,26.67,54.55
2020-05-07,51.33,27.26,53.08
2020-05-08,51.42,22.81,54.7
2020-05-09,41.66,22.34,46.45
2020-05-10,44.65,23.98,45.58
2020-05-11,,,
2020-05-12,,,
2020-05-13,64.53,32.72,62.63
2020-05-14,65.51,37.42,66.16
2020-05-15,71.05,35.07,73.25
2020-05-16,64.65,33.52,68.48
2020-05-17,61.12,30.87,69.03
2020-05-18,68.68,36.04,76.41
2020-05-19,72.96,42.5,78.82
2020-05-20,73.18,35.32,79.09
2020-05-21,66.3,38.43,74.82
2020-05-22,72.7,45.02,82.35
