date,"('retail/recreation',)","('grocery/pharmacy',)","('parks',)","('transit',)","('workplaces',)",C1,C2,C3,C4,C5,C6,C7,C8,H1,H2,H3,cum_cases,active_infections_resident,pos_rate
2020-02-15,-4.0,-2.0,20.0,-2.0,-9.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-16,-4.0,-3.0,14.0,-4.0,-12.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17,-4.0,-4.0,8.0,-7.0,-16.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-18,-5.0,-4.0,4.0,-9.0,-18.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-19,-6.0,-5.0,3.0,-8.0,-20.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-20,-6.0,-4.0,3.0,-6.0,-19.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-21,-7.0,-3.0,6.0,-3.0,-16.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-22,-6.0,-1.0,8.0,-0.0,-11.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-23,-6.0,1.0,8.0,1.0,-7.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,-5.0,2.0,8.0,1.0,-4.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-25,-5.0,3.0,7.0,1.0,-2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26,-4.0,4.0,6.0,1.0,-1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27,-4.0,5.0,7.0,3.0,-1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-28,-4.0,7.0,5.0,5.0,-0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,-3.0,8.0,4.0,6.0,-0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2020-03-01,-3.0,9.0,3.0,6.0,-0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0
2020-03-02,-3.0,9.0,1.0,4.0,-0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0
2020-03-03,-3.0,7.0,0.0,2.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0
2020-03-04,-3.0,6.0,3.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0
2020-03-05,-2.0,6.0,6.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.2
2020-03-06,-2.0,6.0,9.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0
2020-03-07,-1.0,6.0,11.0,1.0,-0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,0.16666666666666666
2020-03-08,-2.0,7.0,11.0,0.0,-1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,0.0
2020-03-09,-3.0,9.0,8.0,-1.0,-1.0,3,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,0.0
2020-03-10,-5.0,13.0,4.0,-3.0,-2.0,3,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,0.0
2020-03-11,-8.0,16.0,1.0,-6.0,-3.0,3,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,4.0,0.029411764705882353
2020-03-12,-12.0,19.0,4.0,-8.0,-5.0,3,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,17.0,17.0,0.07602339181286549
2020-03-13,-18.0,19.0,8.0,-11.0,-9.0,3,1.0,2.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,39.0,38.0,0.12021857923497267
2020-03-14,-27.0,17.0,12.0,-16.0,-16.0,3,1.0,2.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,57.0,56.0,0.1956521739130435
2020-03-15,-37.0,12.0,11.0,-23.0,-25.0,3,1.0,2.0,4.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,57.0,56.0,0.0
2020-03-16,-48.0,5.0,5.0,-32.0,-37.0,0,3.0,2.0,4.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,89.0,88.0,0.0893854748603352
2020-03-17,-58.0,-4.0,-6.0,-42.0,-48.0,0,3.0,2.0,4.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,198.0,195.0,0.18825561312607944
2020-03-18,-67.0,-13.0,-20.0,-51.0,-57.0,0,3.0,2.0,4.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,346.0,343.0,0.16799091940976163
2020-03-19,-75.0,-24.0,-34.0,-60.0,-62.0,0,3.0,2.0,4.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,482.0,478.0,0.1509433962264151
2020-03-20,-79.0,-33.0,-42.0,-65.0,-65.0,0,3.0,2.0,4.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,650.0,644.0,0.16884422110552763
2020-03-21,-82.0,-40.0,-46.0,-69.0,-66.0,0,3.0,2.0,4.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,769.0,762.0,0.271689497716895
2020-03-22,-83.0,-43.0,-47.0,-71.0,-68.0,0,3.0,2.0,4.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,790.0,783.0,1.0
2020-03-23,-83.0,-43.0,-47.0,-72.0,-70.0,0,3.0,2.0,4.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,1009.0,1002.0,0.1983695652173913
2020-03-24,-82.0,-41.0,-46.0,-73.0,-73.0,0,3.0,2.0,4.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,1182.0,1175.0,0.19548022598870057
2020-03-25,-82.0,-39.0,-44.0,-73.0,-74.0,0,3.0,2.0,4.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,1331.0,1319.0,0.16555555555555557
2020-03-26,-83.0,-40.0,-44.0,-73.0,-73.0,0,3.0,2.0,4.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,1532.0,1519.0,0.04380039224231859
2020-03-27,-83.0,-42.0,-44.0,-73.0,-71.0,0,3.0,2.0,4.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,1685.0,1656.0,0.14153561517113783
2020-03-28,-83.0,-44.0,-44.0,-73.0,-70.0,0,3.0,2.0,4.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,1782.0,1728.0,0.11771844660194175
2020-03-29,-83.0,-45.0,-45.0,-73.0,-70.0,0,3.0,2.0,4.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,1815.0,1740.0,0.12087912087912088
2020-03-30,-83.0,-44.0,-45.0,-73.0,-71.0,0,3.0,2.0,4.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,1952.0,1876.0,0.12732342007434944
2020-03-31,-82.0,-41.0,-46.0,-73.0,-73.0,0,3.0,2.0,4.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,2038.0,1929.0,0.09188034188034189
2020-04-01,-82.0,-39.0,-45.0,-73.0,-74.0,0,3.0,2.0,4.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,2157.0,1958.0,0.10084745762711865
2020-04-02,-82.0,-40.0,-41.0,-72.0,-72.0,0,3.0,2.0,4.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,2266.0,1931.0,0.08128262490678598
2020-04-03,-82.0,-42.0,-37.0,-71.0,-70.0,0,3.0,2.0,4.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,2353.0,1891.0,0.0717230008244023
2020-04-04,-82.0,-44.0,-33.0,-70.0,-69.0,0,3.0,2.0,4.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,2412.0,1790.0,0.07168894289185905
2020-04-05,-81.0,-44.0,-29.0,-70.0,-68.0,0,3.0,2.0,4.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,2443.0,1708.0,0.056261343012704176
2020-04-06,-80.0,-42.0,-28.0,-70.0,-70.0,0,3.0,2.0,4.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,2502.0,1751.0,0.05624404194470925
2020-04-07,-79.0,-37.0,-27.0,-70.0,-72.0,0,3.0,2.0,4.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,2563.0,1619.0,0.059803921568627454
2020-04-08,-78.0,-33.0,-28.0,-70.0,-73.0,0,3.0,2.0,4.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,2627.0,1524.0,0.06866952789699571
2020-04-09,-79.0,-32.0,-28.0,-70.0,-72.0,0,3.0,2.0,4.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,2684.0,1444.0,0.0660486674391657
2020-04-10,-81.0,-40.0,-28.0,-71.0,-71.0,0,3.0,2.0,4.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,2719.0,1301.0,0.05065123010130246
2020-04-11,-82.0,-46.0,-28.0,-71.0,-71.0,0,3.0,2.0,4.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,2726.0,1167.0,0.022653721682847898
2020-04-12,-83.0,-52.0,-29.0,-72.0,-71.0,0,3.0,2.0,4.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,2738.0,1085.0,0.057692307692307696
