,ALL,N,T,U,K,L,M,O,A,R,S,G,F,P,I,C,B,J,E,D,Q,H
2020-03-11,1.5830147318807255,0.7915073659403628,0.7915073659403628,0.7915073659403628,4.533194162501581,0.7915073659403628,2.148351361286815,0.7915073659403628,0.7915073659403628,0.7915073659403628,0.7915073659403628,3.0760479200440662,0.7915073659403628,0.7915073659403628,0.7915073659403628,0.7915073659403628,0.7915073659403628,0.7915073659403628,0.7915073659403628,0.7915073659403628,4.494656780921362,0.7915073659403628
2020-03-12,2.6164789601329503,3.346070296093388,1.3082394800664752,1.3082394800664752,4.647068707383836,1.3082394800664752,2.9181915961918747,1.3082394800664752,1.3082394800664752,1.3082394800664752,1.3082394800664752,3.9900715297645304,1.3082394800664752,1.3082394800664752,1.3082394800664752,1.3082394800664752,1.3082394800664752,1.3082394800664752,1.3082394800664752,1.3082394800664752,4.936554029742292,1.3082394800664752
2020-03-13,3.187410653214258,4.459510032998138,1.593705326607129,1.593705326607129,4.247903924269115,1.593705326607129,3.5845609189146908,1.593705326607129,1.593705326607129,1.593705326607129,1.593705326607129,4.57469628242292,1.593705326607129,1.593705326607129,1.593705326607129,1.593705326607129,1.593705326607129,1.593705326607129,1.593705326607129,1.593705326607129,5.112254978835991,1.593705326607129
2020-03-14,3.374192338571836,5.045650094339187,1.687096169285918,1.687096169285918,3.899993446033075,1.687096169285918,4.114971139235045,1.687096169285918,1.687096169285918,1.687096169285918,1.687096169285918,4.811384691447726,1.687096169285918,1.687096169285918,1.687096169285918,1.687096169285918,1.687096169285918,1.687096169285918,1.687096169285918,1.687096169285918,4.7936944256549125,1.687096169285918
2020-03-15,3.5241824960203374,5.407766962929909,1.7620912480101687,1.7620912480101687,3.790668667859745,1.7620912480101687,4.5487779449989105,1.7620912480101687,1.7620912480101687,1.7620912480101687,1.7620912480101687,4.927176735775367,1.7620912480101687,1.7620912480101687,1.7620912480101687,1.7620912480101687,1.7620912480101687,1.7620912480101687,1.7620912480101687,1.7620912480101687,4.52149295876271,1.7620912480101687
2020-03-16,3.6780090060311363,5.4978094974527725,1.8390045030155682,1.8390045030155682,3.792079528201861,1.8390045030155682,4.733532492919939,1.8390045030155682,1.8390045030155682,1.8390045030155682,1.8390045030155682,4.67828264405249,1.8390045030155682,1.8390045030155682,1.8390045030155682,1.8390045030155682,1.8390045030155682,1.8390045030155682,1.8390045030155682,1.8390045030155682,4.250796260004768,1.8390045030155682
2020-03-17,3.760515276477534,5.235636075773489,1.880257638238767,1.880257638238767,3.727536633849721,1.880257638238767,4.595529228590287,1.880257638238767,1.880257638238767,1.880257638238767,1.880257638238767,4.321491925477496,1.880257638238767,1.880257638238767,1.880257638238767,1.880257638238767,1.880257638238767,1.880257638238767,1.880257638238767,1.880257638238767,3.872354448338016,1.880257638238767
2020-03-18,3.6742478864287396,4.725075337495744,1.8371239432143698,1.8371239432143698,3.4650975772432515,1.8371239432143698,4.098013907629456,1.8371239432143698,1.8371239432143698,1.8371239432143698,1.8371239432143698,3.837019646616037,1.8371239432143698,1.8371239432143698,1.8371239432143698,1.8371239432143698,1.8371239432143698,1.8371239432143698,1.8371239432143698,1.8371239432143698,3.3273658243524924,1.8371239432143698
2020-03-19,3.411054917261688,3.7740127145834315,1.705527458630844,1.705527458630844,3.015325538539532,1.705527458630844,3.3802334110533434,1.705527458630844,1.705527458630844,1.705527458630844,1.705527458630844,3.3331811943183363,1.705527458630844,1.705527458630844,1.705527458630844,1.705527458630844,1.705527458630844,1.705527458630844,1.705527458630844,1.705527458630844,2.774152007863237,1.705527458630844
2020-03-20,3.0559379257224406,2.970311960962073,1.5279689628612203,1.5279689628612203,2.5200582734322334,1.5279689628612203,2.7300324461418732,1.5279689628612203,1.5279689628612203,1.5279689628612203,1.5279689628612203,2.9105013967800692,1.5279689628612203,1.5279689628612203,1.5279689628612203,1.5279689628612203,1.5279689628612203,1.5279689628612203,1.5279689628612203,1.5279689628612203,2.3222362503518355,1.5279689628612203
2020-03-21,2.721104249243635,2.420622050590615,1.3605521246218175,1.3605521246218175,2.1236946751087538,1.3605521246218175,2.2482592530453718,1.3605521246218175,1.3605521246218175,1.3605521246218175,1.3605521246218175,2.631129170953123,1.3605521246218175,1.3605521246218175,1.3605521246218175,1.3605521246218175,1.3605521246218175,1.3605521246218175,1.3605521246218175,1.3605521246218175,2.0343850209074676,1.3605521246218175
2020-03-22,2.450411718938646,2.098110931251446,1.225205859469323,1.225205859469323,1.863098363121177,1.225205859469323,1.9623016296918459,1.225205859469323,1.225205859469323,1.225205859469323,1.225205859469323,2.471385353789077,1.225205859469323,1.225205859469323,1.225205859469323,1.225205859469323,1.225205859469323,1.225205859469323,1.225205859469323,1.225205859469323,1.91405632715822,1.225205859469323
2020-03-23,2.233551705129185,1.9258516409793631,1.1167758525645926,1.1167758525645926,1.7078280579987148,1.1167758525645926,1.8055167218469883,1.1167758525645926,1.1167758525645926,1.1167758525645926,1.1167758525645926,2.34800525749087,1.1167758525645926,1.1167758525645926,1.1167758525645926,1.1167758525645926,1.1167758525645926,1.1167758525645926,1.1167758525645926,1.1167758525645926,1.8529509838577727,1.1167758525645926
2020-03-24,2.060726524598002,1.8335149333934009,1.030363262299001,1.030363262299001,1.5676086713832311,1.030363262299001,1.6664846418569281,1.030363262299001,1.030363262299001,1.030363262299001,1.030363262299001,2.1594765412342394,1.030363262299001,1.030363262299001,1.030363262299001,1.030363262299001,1.030363262299001,1.030363262299001,1.030363262299001,1.030363262299001,1.7471525351318133,1.030363262299001
2020-03-25,1.9185629983499874,1.7571450067793057,0.9592814991749937,0.9592814991749937,1.4133376034674965,0.9592814991749937,1.5031886634315512,0.9592814991749937,0.9592814991749937,0.9592814991749937,0.9592814991749937,1.8881655860954298,0.9592814991749937,0.9592814991749937,0.9592814991749937,0.9592814991749937,0.9592814991749937,0.9592814991749937,0.9592814991749937,0.9592814991749937,1.5771640339641377,0.9592814991749937
2020-03-26,1.7836720993790627,1.7091743369956738,0.8918360496895313,0.8918360496895313,1.225830584333209,0.8918360496895313,1.2978038431489103,0.8918360496895313,0.8918360496895313,0.8918360496895313,0.8918360496895313,1.5525689194070655,0.8918360496895313,0.8918360496895313,0.8918360496895313,0.8918360496895313,0.8918360496895313,0.8918360496895313,0.8918360496895313,0.8918360496895313,1.3489442634563882,0.8918360496895313
2020-03-27,1.6474885831916959,1.6765135313488662,0.8237442915958479,0.8237442915958479,1.0203948467434527,0.8237442915958479,1.0644483054162623,0.8237442915958479,0.8237442915958479,0.8237442915958479,0.8237442915958479,1.2190027331462197,0.8237442915958479,0.8237442915958479,0.8237442915958479,0.8237442915958479,0.8237442915958479,0.8237442915958479,0.8237442915958479,0.8237442915958479,1.1197889629928515,0.8237442915958479
2020-03-28,1.5222966651007654,1.6568965808336995,0.7611483325503827,0.7611483325503827,0.8487231208548279,0.7611483325503827,0.8994582864241503,0.7611483325503827,0.7611483325503827,0.7611483325503827,0.7611483325503827,0.997044142145241,0.7611483325503827,0.7611483325503827,0.7611483325503827,0.7611483325503827,0.7611483325503827,0.7611483325503827,0.7611483325503827,0.7611483325503827,0.9890205777250165,0.7611483325503827
2020-03-29,1.4244043204712213,1.6171817334322869,0.7122021602356107,0.7122021602356107,0.737108721306065,0.7122021602356107,0.8313759101831387,0.7122021602356107,0.7122021602356107,0.7122021602356107,0.7122021602356107,0.9093697612674858,0.7122021602356107,0.7122021602356107,0.7122021602356107,0.7122021602356107,0.7122021602356107,0.7122021602356107,0.7122021602356107,0.7122021602356107,0.95267729468828,0.7122021602356107
2020-03-30,1.3610835620030601,1.5194402427935945,0.6805417810015301,0.6805417810015301,0.6805417810015301,0.6805417810015301,0.8581121638614786,0.6805417810015301,0.6805417810015301,0.6805417810015301,0.6805417810015301,0.9239733648554863,0.6805417810015301,0.6805417810015301,0.6805417810015301,0.6805417810015301,0.6805417810015301,0.6805417810015301,0.6805417810015301,0.6805417810015301,0.9741423640439495,0.6805417810015301
2020-03-31,1.3208060387167386,1.3392248142981642,0.6604030193583693,0.6604030193583693,0.6663665621498865,0.6604030193583693,0.9132448190370769,0.6604030193583693,0.6604030193583693,0.6604030193583693,0.6604030193583693,0.9628906192318427,0.6604030193583693,0.6604030193583693,0.6604030193583693,0.6604030193583693,0.6604030193583693,0.6604030193583693,0.6604030193583693,0.6604030193583693,0.9894255216575117,0.6604030193583693
2020-04-01,1.2850647705473226,1.1080245323238618,0.6425323852736613,0.6425323852736613,0.668758005282078,0.6425323852736613,0.9316797817821533,0.6425323852736613,0.6425323852736613,0.6425323852736613,0.6425323852736613,0.9598852127490741,0.6425323852736613,0.6425323852736613,0.6425323852736613,0.6425323852736613,0.6425323852736613,0.6425323852736613,0.6425323852736613,0.6425323852736613,0.947676523132873,0.6425323852736613
2020-04-02,1.2403068630216552,0.8808172369339033,0.6201534315108276,0.6201534315108276,0.7024311570501045,0.6201534315108276,0.8887315471902293,0.6201534315108276,0.6201534315108276,0.6201534315108276,0.6201534315108276,0.8911683993829125,0.6201534315108276,0.6201534315108276,0.6201534315108276,0.6201534315108276,0.6201534315108276,0.6201534315108276,0.6201534315108276,0.6201534315108276,0.8471706775520048,0.6201534315108276
2020-04-03,1.1791882647891045,0.7410032640167676,0.5895941323945523,0.5895941323945523,0.7555280858391803,0.5895941323945523,0.7946417978196043,0.5895941323945523,0.5895941323945523,0.5895941323945523,0.5895941323945523,0.7801759309270723,0.5895941323945523,0.5895941323945523,0.5895941323945523,0.5895941323945523,0.5895941323945523,0.5895941323945523,0.5895941323945523,0.5895941323945523,0.7566960950506378,0.5895941323945523
2020-04-04,1.1073112612646858,0.7121199460057802,0.5536556306323429,0.5536556306323429,0.8026495527888013,0.5536556306323429,0.6802178672973456,0.5536556306323429,0.5536556306323429,0.5536556306323429,0.5536556306323429,0.6849034329354544,0.5536556306323429,0.5536556306323429,0.5536556306323429,0.5536556306323429,0.5536556306323429,0.5536556306323429,0.5536556306323429,0.5536556306323429,0.7086545221370729,0.5536556306323429
2020-04-05,1.0439109886777882,0.7643943889105885,0.5219554943388941,0.5219554943388941,0.8195650541103168,0.5219554943388941,0.6183858287299766,0.5219554943388941,0.5219554943388941,0.5219554943388941,0.5219554943388941,0.6644565148835395,0.5219554943388941,0.5219554943388941,0.5219554943388941,0.5219554943388941,0.5219554943388941,0.5219554943388941,0.5219554943388941,0.5219554943388941,0.7402717746591475,0.5219554943388941
2020-04-06,1.0028308770253398,0.847602040671904,0.5014154385126699,0.5014154385126699,0.7948872972523634,0.5014154385126699,0.6167419488006142,0.5014154385126699,0.5014154385126699,0.5014154385126699,0.5014154385126699,0.7060393636801224,0.5014154385126699,0.5014154385126699,0.5014154385126699,0.5014154385126699,0.5014154385126699,0.5014154385126699,0.5014154385126699,0.5014154385126699,0.8120753023068072,0.5014154385126699
2020-04-07,0.9813017640612104,0.8850171767343088,0.4906508820306052,0.4906508820306052,0.7264711363622511,0.4906508820306052,0.6488416697834307,0.4906508820306052,0.4906508820306052,0.4906508820306052,0.4906508820306052,0.7593560126452694,0.4906508820306052,0.4906508820306052,0.4906508820306052,0.4906508820306052,0.4906508820306052,0.4906508820306052,0.4906508820306052,0.4906508820306052,0.8558972993867336,0.4906508820306052
2020-04-08,0.965064770547323,0.8601729063166056,0.4825323852736615,0.4825323852736615,0.6342451830538365,0.4825323852736615,0.6647858015722311,0.4825323852736615,0.4825323852736615,0.4825323852736615,0.4825323852736615,0.7699041177642356,0.4825323852736615,0.4825323852736615,0.4825323852736615,0.4825323852736615,0.4825323852736615,0.4825323852736615,0.4825323852736615,0.4825323852736615,0.8344545922502289,0.4825323852736615
