Date,ALL,N,T,U,K,L,M,O,A,R,S,G,F,P,I,C,B,J,E,D,Q,H,retail/recreation,grocery/pharmacy,parks,transit,workplaces,driving,public_transport,walking,C1,C2,C3,C4,C5,C6,C7,C8,H1,H2,H3,retail/recreation_5,retail/recreation_10,retail/recreation_15,grocery/pharmacy_5,grocery/pharmacy_10,grocery/pharmacy_15,parks_5,parks_10,parks_15,transit_5,transit_10,transit_15,workplaces_5,workplaces_10,workplaces_15,driving_5,driving_10,driving_15,public_transport_5,public_transport_10,public_transport_15,walking_5,walking_10,walking_15,C1_5,C1_10,C1_15,C2_5,C2_10,C2_15,C3_5,C3_10,C3_15,C4_5,C4_10,C4_15,C5_5,C5_10,C5_15,C6_5,C6_10,C6_15,C7_5,C7_10,C7_15,C8_5,C8_10,C8_15,H1_5,H1_10,H1_15,H2_5,H2_10,H2_15,H3_5,H3_10,H3_15
2020-03-11,1.5830147318807255,0.7915073659403628,0.7915073659403628,0.7915073659403628,4.533194162501581,0.7915073659403628,2.1483513612868146,0.7915073659403628,0.7915073659403628,0.7915073659403628,0.7915073659403628,3.0760479200440662,0.7915073659403628,0.7915073659403628,0.7915073659403628,0.7915073659403628,0.7915073659403628,0.7915073659403628,0.7915073659403628,0.7915073659403628,4.494656780921362,0.7915073659403628,-8.0,16.0,1.0,-6.0,-3.0,83.72,98.24,99.23,3,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,-15.221970895957726,-34.06252188661358,-56.03037945269415,17.854953577412534,10.62998793379838,-5.552339104510573,5.700934470450793,4.999187808741132,-10.093367536893144,-9.700934470450795,-22.611313096597684,-41.35675586248139,-7.502378716182289,-23.92069125173968,-44.777251928506296,74.17563114100994,57.59994793174426,42.49312075229883,77.08159075043105,53.742316307982236,33.14402741178772,89.30318606512066,69.06755895246341,50.46748919040379,3.0,2.071865534574014,0.6715538632742876,0.7382498891000846,1.5744024335580273,2.5500801970889495,1.4416481558437753,1.861748965508336,1.9890134681463105,2.8832963116875505,3.723497931016672,3.978026936292621,0.7382498891000846,0.9556461232740366,0.9977827726051407,0.0,0.30913582775079734,1.2000250474867984,0.0,1.0163168793837343,1.794410452408065,0.0,0.0,0.0,2.0,2.0,2.0,1.2617501108999154,1.0443538767259635,1.0022172273948593,2.0,2.0,2.0
2020-03-12,2.6164789601329503,3.346070296093388,1.3082394800664752,1.3082394800664752,4.647068707383836,1.3082394800664752,2.9181915961918747,1.3082394800664752,1.3082394800664752,1.3082394800664752,1.3082394800664752,3.9900715297645295,1.3082394800664752,1.3082394800664752,1.3082394800664752,1.3082394800664752,1.3082394800664752,1.3082394800664752,1.3082394800664752,1.3082394800664752,4.936554029742292,1.3082394800664752,-12.0,19.0,4.0,-8.0,-5.0,74.98,75.85,89.39,3,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,-15.221970895957726,-34.06252188661358,-56.03037945269415,17.854953577412534,10.62998793379838,-5.552339104510573,5.700934470450793,4.999187808741132,-10.093367536893144,-9.700934470450795,-22.611313096597684,-41.35675586248139,-7.502378716182289,-23.92069125173968,-44.777251928506296,74.17563114100994,57.59994793174426,42.49312075229883,77.08159075043105,53.742316307982236,33.14402741178772,89.30318606512066,69.06755895246341,50.46748919040379,3.0,2.071865534574014,0.6715538632742876,0.7382498891000846,1.5744024335580273,2.5500801970889495,1.4416481558437753,1.861748965508336,1.9890134681463105,2.8832963116875505,3.723497931016672,3.978026936292621,0.7382498891000846,0.9556461232740366,0.9977827726051407,0.0,0.30913582775079734,1.2000250474867984,0.0,1.0163168793837343,1.794410452408065,0.0,0.0,0.0,2.0,2.0,2.0,1.2617501108999154,1.0443538767259635,1.0022172273948593,2.0,2.0,2.0
2020-03-13,3.1874106532142585,4.459510032998137,1.5937053266071293,1.5937053266071293,4.2479039242691154,1.5937053266071293,3.5845609189146908,1.5937053266071293,1.5937053266071293,1.5937053266071293,1.5937053266071293,4.57469628242292,1.5937053266071293,1.5937053266071293,1.5937053266071293,1.5937053266071293,1.5937053266071293,1.5937053266071293,1.5937053266071293,1.5937053266071293,5.112254978835991,1.5937053266071293,-18.0,19.0,8.0,-11.0,-9.0,77.71,71.1,88.05,3,1.0,2.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,-15.221970895957726,-34.06252188661358,-56.03037945269415,17.854953577412534,10.62998793379838,-5.552339104510573,5.700934470450793,4.999187808741132,-10.093367536893144,-9.700934470450795,-22.611313096597684,-41.35675586248139,-7.502378716182289,-23.92069125173968,-44.777251928506296,74.17563114100994,57.59994793174426,42.49312075229883,77.08159075043105,53.742316307982236,33.14402741178772,89.30318606512066,69.06755895246341,50.46748919040379,3.0,2.071865534574014,0.6715538632742876,0.7382498891000846,1.5744024335580273,2.5500801970889495,1.4416481558437753,1.861748965508336,1.9890134681463105,2.8832963116875505,3.723497931016672,3.978026936292621,0.7382498891000846,0.9556461232740366,0.9977827726051407,0.0,0.30913582775079734,1.2000250474867984,0.0,1.0163168793837343,1.794410452408065,0.0,0.0,0.0,2.0,2.0,2.0,1.2617501108999154,1.0443538767259635,1.0022172273948593,2.0,2.0,2.0
2020-03-14,3.374192338571836,5.045650094339186,1.687096169285918,1.687096169285918,3.8999934460330756,1.687096169285918,4.1149711392350445,1.687096169285918,1.687096169285918,1.687096169285918,1.687096169285918,4.811384691447726,1.687096169285918,1.687096169285918,1.687096169285918,1.687096169285918,1.687096169285918,1.687096169285918,1.687096169285918,1.687096169285918,4.7936944256549125,1.687096169285918,-27.0,17.0,12.0,-16.0,-16.0,53.82,57.03,76.54,3,1.0,2.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,-15.221970895957726,-34.06252188661358,-56.03037945269415,17.854953577412534,10.62998793379838,-5.552339104510573,5.700934470450793,4.999187808741132,-10.093367536893144,-9.700934470450795,-22.611313096597684,-41.35675586248139,-7.502378716182289,-23.92069125173968,-44.777251928506296,74.17563114100994,57.59994793174426,42.49312075229883,77.08159075043105,53.742316307982236,33.14402741178772,89.30318606512066,69.06755895246341,50.46748919040379,3.0,2.071865534574014,0.6715538632742876,0.7382498891000846,1.5744024335580273,2.5500801970889495,1.4416481558437753,1.861748965508336,1.9890134681463105,2.8832963116875505,3.723497931016672,3.978026936292621,0.7382498891000846,0.9556461232740366,0.9977827726051407,0.0,0.30913582775079734,1.2000250474867984,0.0,1.0163168793837343,1.794410452408065,0.0,0.0,0.0,2.0,2.0,2.0,1.2617501108999154,1.0443538767259635,1.0022172273948593,2.0,2.0,2.0
2020-03-15,3.5241824960203374,5.40776696292991,1.7620912480101687,1.7620912480101687,3.790668667859745,1.7620912480101687,4.548777944998911,1.7620912480101687,1.7620912480101687,1.7620912480101687,1.7620912480101687,4.927176735775367,1.7620912480101687,1.7620912480101687,1.7620912480101687,1.7620912480101687,1.7620912480101687,1.7620912480101687,1.7620912480101687,1.7620912480101687,4.52149295876271,1.7620912480101687,-37.0,12.0,11.0,-23.0,-25.0,46.81,47.92,56.91,3,1.0,2.0,4.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,-20.037746182814367,-34.06252188661358,-56.03037945269415,17.03162596870907,10.62998793379838,-5.552339104510573,7.390123423918651,4.999187808741132,-10.093367536893144,-12.510966599229917,-22.611313096597684,-41.35675586248139,-11.190215326834705,-23.92069125173968,-44.777251928506296,68.00962771795845,57.59994793174426,42.49312075229883,69.63621693585253,53.742316307982236,33.14402741178772,82.75058990967386,69.06755895246341,50.46748919040379,3.0000000000000004,2.071865534574014,0.6715538632742876,0.8475308559796627,1.5744024335580273,2.5500801970889495,1.6256895604358856,1.861748965508336,1.9890134681463105,3.2513791208717713,3.723497931016672,3.978026936292621,0.8475308559796627,0.9556461232740366,0.9977827726051407,0.0,0.30913582775079734,1.2000250474867984,0.3049382880406747,1.0163168793837343,1.794410452408065,0.0,0.0,0.0,2.0,2.0,2.0,1.1524691440203374,1.0443538767259635,1.0022172273948593,2.0,2.0,2.0
2020-03-16,3.678009006031136,5.4978094974527725,1.839004503015568,1.839004503015568,3.7920795282018616,1.839004503015568,4.733532492919939,1.839004503015568,1.839004503015568,1.839004503015568,1.839004503015568,4.67828264405249,1.839004503015568,1.839004503015568,1.839004503015568,1.839004503015568,1.839004503015568,1.839004503015568,1.839004503015568,1.839004503015568,4.250796260004768,1.839004503015568,-48.0,5.0,5.0,-32.0,-37.0,57.07,41.96,60.87,0,3.0,2.0,4.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,-28.136656159665804,-34.06252188661358,-56.03037945269415,14.809784673165296,10.62998793379838,-5.552339104510573,8.603756361976057,4.999187808741132,-10.093367536893144,-17.66343574325025,-22.611313096597684,-41.35675586248139,-17.968374031290928,-23.92069125173968,-44.777251928506296,61.28645287431539,57.59994793174426,42.49312075229883,58.7020921159734,53.742316307982236,33.14402741178772,74.30868569404718,69.06755895246341,50.46748919040379,2.5425925679389882,2.071865534574014,0.6715538632742876,1.3049382880406748,1.5744024335580273,2.5500801970889495,1.8475308559796624,1.861748965508336,1.9890134681463105,3.6950617119593248,3.723497931016672,3.978026936292621,1.0,0.9556461232740366,0.9977827726051407,0.0,0.30913582775079734,1.2000250474867984,0.7486208791282286,1.0163168793837343,1.794410452408065,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0443538767259635,1.0022172273948593,2.0,2.0,2.0
2020-03-17,3.7605152764775336,5.235636075773488,1.8802576382387668,1.8802576382387668,3.727536633849721,1.8802576382387668,4.595529228590287,1.8802576382387668,1.8802576382387668,1.8802576382387668,1.8802576382387668,4.321491925477496,1.8802576382387668,1.8802576382387668,1.8802576382387668,1.8802576382387668,1.8802576382387668,1.8802576382387668,1.8802576382387668,1.8802576382387668,3.872354448338016,1.8802576382387668,-58.0,-4.0,-6.0,-42.0,-48.0,43.03,28.39,45.98,0,3.0,2.0,4.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,-37.52677958358445,-34.06252188661358,-56.03037945269415,10.18409511272941,10.62998793379838,-5.552339104510573,6.8414106418743685,4.999187808741132,-10.093367536893144,-24.510966599229917,-22.611313096597684,-41.35675586248139,-26.732807894773693,-23.92069125173968,-44.777251928506296,54.77616235987257,57.59994793174426,42.49312075229883,49.17531245663712,53.742316307982236,33.14402741178772,65.22463756252871,69.06755895246341,50.46748919040379,1.8770686813076574,2.071865534574014,0.6715538632742876,1.7486208791282285,1.5744024335580273,2.5500801970889495,2.0,1.861748965508336,1.9890134681463105,4.0,3.723497931016672,3.978026936292621,1.0,0.9556461232740366,0.9977827726051407,0.3049382880406747,0.30913582775079734,1.2000250474867984,1.2513791208717715,1.0163168793837343,1.794410452408065,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0443538767259635,1.0022172273948593,2.0,2.0,2.0
2020-03-18,3.67424788642874,4.725075337495745,1.8371239432143696,1.8371239432143696,3.4650975772432515,1.8371239432143696,4.098013907629456,1.8371239432143696,1.8371239432143696,1.8371239432143696,1.8371239432143696,3.837019646616037,1.8371239432143696,1.8371239432143696,1.8371239432143696,1.8371239432143696,1.8371239432143696,1.8371239432143696,1.8371239432143696,1.8371239432143696,3.3273658243524924,1.8371239432143696,-67.0,-13.0,-20.0,-51.0,-57.0,33.2,20.29,38.24,0,3.0,2.0,4.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,-47.47322041641554,-34.06252188661358,-56.03037945269415,3.641502544790422,10.62998793379838,-5.552339104510573,1.1463489299150422,4.999187808741132,-10.093367536893144,-32.67924872760479,-22.611313096597684,-41.35675586248139,-36.62568956043589,-23.92069125173968,-44.777251928506296,47.54429333245467,57.59994793174426,42.49312075229883,39.26549139037763,53.742316307982236,33.14402741178772,55.627106336618255,69.06755895246341,50.46748919040379,1.1229313186923429,2.071865534574014,0.6715538632742876,2.2513791208717713,1.5744024335580273,2.5500801970889495,2.0,1.861748965508336,1.9890134681463105,4.0,3.723497931016672,3.978026936292621,1.0,0.9556461232740366,0.9977827726051407,0.7486208791282286,0.30913582775079734,1.2000250474867984,1.6950617119593254,1.0163168793837343,1.794410452408065,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0443538767259635,1.0022172273948593,2.0,2.0,2.0
2020-03-19,3.411054917261688,3.774012714583432,1.705527458630844,1.705527458630844,3.015325538539532,1.705527458630844,3.3802334110533434,1.705527458630844,1.705527458630844,1.705527458630844,1.705527458630844,3.3331811943183363,1.705527458630844,1.705527458630844,1.705527458630844,1.705527458630844,1.705527458630844,1.705527458630844,1.705527458630844,1.705527458630844,2.7741520078632367,1.705527458630844,-75.0,-24.0,-34.0,-60.0,-62.0,28.48,20.37,41.54,0,3.0,2.0,4.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,-57.16828212837488,-34.06252188661358,-56.03037945269415,-4.60987657608135,10.62998793379838,-5.552339104510573,-8.342684470855042,4.999187808741132,-10.093367536893144,-41.62568956043588,-22.611313096597684,-41.35675586248139,-46.18409511272941,-23.92069125173968,-44.777251928506296,42.32185917314027,57.59994793174426,42.49312075229883,31.358391734298543,53.742316307982236,33.14402741178772,48.555690007829995,69.06755895246341,50.46748919040379,0.45740743206101203,2.071865534574014,0.6715538632742876,2.6950617119593256,1.5744024335580273,2.5500801970889495,2.0,1.861748965508336,1.9890134681463105,4.0,3.723497931016672,3.978026936292621,1.0,0.9556461232740366,0.9977827726051407,1.2513791208717715,0.30913582775079734,1.2000250474867984,2.0,1.0163168793837343,1.794410452408065,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0443538767259635,1.0022172273948593,2.0,2.0,2.0
2020-03-20,3.0559379257224406,2.970311960962073,1.5279689628612203,1.5279689628612203,2.520058273432233,1.5279689628612203,2.730032446141873,1.5279689628612203,1.5279689628612203,1.5279689628612203,1.5279689628612203,2.910501396780069,1.5279689628612203,1.5279689628612203,1.5279689628612203,1.5279689628612203,1.5279689628612203,1.5279689628612203,1.5279689628612203,1.5279689628612203,2.3222362503518355,1.5279689628612203,-79.0,-33.0,-42.0,-65.0,-65.0,26.93,18.56,38.77,0,3.0,2.0,4.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,-65.71087469631387,-42.61939338476103,-56.03037945269415,-13.748620879128229,5.368428585543969,-5.552339104510573,-19.542592567938986,0.9671902244634096,-10.093367536893144,-50.237654279898315,-29.42792359891246,-41.35675586248139,-54.28300508958084,-31.988746515887396,-44.777251928506296,37.017065954986634,51.609018257364475,42.49312075229883,25.144896529313623,45.109027010290426,33.14402741178772,44.22031327831431,61.296775077629846,50.46748919040379,0.0,1.4999999999999998,0.6715538632742876,3.0000000000000004,1.983945086700096,2.5500801970889495,2.0,1.940303307619483,1.9890134681463105,4.0,3.880606615238966,3.978026936292621,1.0,0.9839450867000963,0.9977827726051407,1.6950617119593254,0.6088222313686131,1.2000250474867984,2.0,1.3911777686313866,1.794410452408065,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0160549132999035,1.0022172273948593,2.0,2.0,2.0
